age,gender,height_cm,current_weight,goal_weight,goal_type,activity_level,weeks_to_goal
30,Male,169,64.1,58.3,Weight Loss,Active,13.8
17,Male,156,61.1,56.8,General Fitness,Very Active,13.3
29,Male,183,93.3,81.0,General Fitness,Very Active,44.5
36,Male,172,65.1,79.5,General Fitness,Very Active,58.6
21,Male,177,110.1,90.8,Weight Loss,Very Active,40.3
49,Male,162,118.3,124.6,General Fitness,Very Active,24.6
60,Female,149,47.5,51.7,General Fitness,Moderate,20.2
39,Male,172,84.5,59.0,Weight Loss,Sedentary,82.8
49,Male,170,65.6,59.3,General Fitness,Moderate,26.1
67,Female,147,89.3,75.5,Weight Loss,Moderate,48.8
28,Male,186,80.7,53.0,Weight Loss,Active,60.1
23,Female,160,86.0,68.4,Weight Loss,Active,38.8
38,Female,159,99.9,102.8,General Fitness,Very Active,9.0
24,Male,195,65.4,44.0,Weight Loss,Sedentary,50.3
58,Male,189,103.8,115.6,General Fitness,Sedentary,45.7
47,Female,151,92.9,87.7,General Fitness,Moderate,18.9
38,Female,164,58.2,48.7,Weight Loss,Sedentary,32.2
67,Male,159,118.6,101.2,Weight Loss,Very Active,50.2
50,Male,165,72.2,45.6,Weight Loss,Very Active,70.6
60,Female,164,66.9,45.8,Weight Loss,Moderate,65.8
22,Female,160,57.4,66.1,Muscle Gain,Very Active,74.4
15,Male,159,101.0,99.2,General Fitness,Moderate,5.6
30,Male,185,107.5,103.8,General Fitness,Very Active,13.2
41,Female,174,92.5,96.4,Muscle Gain,Very Active,38.4
61,Male,176,107.0,101.0,Weight Loss,Very Active,16.6
23,Male,182,66.9,51.4,Weight Loss,Very Active,31.9
46,Male,185,68.9,55.1,Weight Loss,Very Active,35.4
15,Male,179,72.2,48.0,Weight Loss,Very Active,44.8
18,Male,192,102.8,106.8,Muscle Gain,Moderate,31.2
52,Female,175,72.7,46.7,Weight Loss,Sedentary,88.4
69,Male,166,59.5,54.7,Weight Loss,Sedentary,15.0
51,Male,170,92.6,96.3,Muscle Gain,Sedentary,36.6
31,Male,168,98.5,106.8,Muscle Gain,Active,81.0
54,Male,191,119.7,114.7,Weight Loss,Very Active,13.7
23,Male,177,112.3,125.6,General Fitness,Active,43.2
68,Female,179,83.7,64.2,Weight Loss,Very Active,56.3
57,Male,161,116.0,113.1,General Fitness,Active,10.7
32,Male,173,94.3,83.3,General Fitness,Moderate,36.5
31,Female,148,50.1,57.0,General Fitness,Very Active,23.2
64,Male,163,96.4,86.3,Weight Loss,Active,31.6
50,Female,145,51.2,37.0,General Fitness,Very Active,58.4
42,Male,163,57.7,66.9,Muscle Gain,Moderate,82.3
30,Female,155,98.7,111.1,General Fitness,Moderate,41.7
65,Male,181,107.1,80.8,Weight Loss,Active,72.2
65,Male,161,79.9,83.6,Muscle Gain,Moderate,47.0
67,Female,174,64.2,39.0,Weight Loss,Moderate,100.2
57,Male,167,80.9,70.4,Weight Loss,Sedentary,39.0
31,Female,156,76.9,47.3,Weight Loss,Sedentary,83.2
37,Male,175,83.4,53.8,Weight Loss,Very Active,73.3
31,Male,157,101.1,104.1,Muscle Gain,Moderate,31.1
47,Male,174,98.3,103.9,General Fitness,Active,21.6
57,Male,179,99.0,71.6,Weight Loss,Very Active,69.0
33,Male,187,98.2,88.5,General Fitness,Sedentary,38.1
29,Male,167,64.6,66.2,General Fitness,Active,5.5
68,Female,180,69.5,75.2,Muscle Gain,Very Active,78.9
63,Female,160,91.2,98.9,Muscle Gain,Active,91.8
32,Female,173,49.3,54.3,General Fitness,Moderate,19.8
41,Male,176,90.3,76.1,Weight Loss,Very Active,37.6
64,Male,192,116.5,119.8,Muscle Gain,Very Active,40.0
46,Female,159,60.0,67.8,General Fitness,Moderate,30.6
61,Female,155,91.2,77.3,General Fitness,Very Active,50.2
20,Female,172,52.5,45.0,General Fitness,Sedentary,23.6
68,Male,156,95.4,86.0,Weight Loss,Moderate,32.5
51,Female,158,70.6,75.2,General Fitness,Sedentary,17.8
64,Male,165,117.7,115.2,General Fitness,Sedentary,11.7
40,Female,157,49.2,38.5,General Fitness,Very Active,41.0
69,Male,193,107.4,95.3,General Fitness,Active,52.2
57,Female,168,48.8,38.7,General Fitness,Very Active,44.0
61,Male,188,117.8,125.4,Muscle Gain,Moderate,96.7
67,Female,162,62.7,69.9,Muscle Gain,Very Active,83.2
69,Female,165,55.0,46.3,Weight Loss,Very Active,25.1
61,Male,181,86.8,63.3,Weight Loss,Moderate,85.2
43,Female,146,50.1,46.0,General Fitness,Very Active,16.0
45,Female,180,74.2,81.2,General Fitness,Active,27.1
32,Female,164,58.8,56.1,General Fitness,Very Active,9.3
27,Female,158,85.6,75.1,Weight Loss,Moderate,26.0
33,Female,159,64.8,53.6,Weight Loss,Moderate,31.7
51,Female,163,70.8,55.9,Weight Loss,Sedentary,46.3
70,Male,185,62.4,57.6,Weight Loss,Active,14.2
24,Female,154,89.6,61.0,Weight Loss,Sedentary,80.5
50,Male,181,94.4,70.0,Weight Loss,Sedentary,92.7
43,Male,183,74.3,83.5,General Fitness,Very Active,35.6
54,Female,151,97.1,93.2,General Fitness,Sedentary,16.3
25,Female,160,54.6,52.5,General Fitness,Sedentary,7.0
31,Female,157,68.4,50.7,Weight Loss,Moderate,50.9
19,Male,158,65.8,74.0,Muscle Gain,Moderate,71.9
